id;id_ccaa;destino;motivo;alojamiento_nivel1;alojamiento_nivel2;anio;viajes
296;2;Aragón;Turismo cultural;Total;;2019;523943
297;2;Aragón;Turismo cultural;Total;;2018;478657
298;2;Aragón;Turismo cultural;Total;;2017;390490
299;2;Aragón;Turismo cultural;Total;;2016;392327
300;2;Aragón;Turismo cultural;Total;;2015;448008
311;2;Aragón;Turismo deportivo;Total;;2024;587278
312;2;Aragón;Turismo deportivo;Total;;2023;538910
313;2;Aragón;Turismo deportivo;Total;;2022;671446
314;2;Aragón;Turismo deportivo;Total;;2021;256366
315;2;Aragón;Turismo deportivo;Total;;2020;316145
316;2;Aragón;Turismo deportivo;Total;;2019;549815
317;2;Aragón;Turismo deportivo;Total;;2018;644481
318;2;Aragón;Turismo deportivo;Total;;2017;635574
319;2;Aragón;Turismo deportivo;Total;;2016;527264
320;2;Aragón;Turismo deportivo;Total;;2015;553597
323;2;Aragón;Turismo termal y de bienestar;Total;;2022;108078
326;2;Aragón;Turismo termal y de bienestar;Total;;2019;88433
327;2;Aragón;Turismo termal y de bienestar;Total;;2018;66226
328;2;Aragón;Turismo termal y de bienestar;Total;;2017;53256
330;2;Aragón;Turismo termal y de bienestar;Total;;2015;84066
331;2;Aragón;Otro tipo de turismo de ocio;Total;;2024;1257809
332;2;Aragón;Otro tipo de turismo de ocio;Total;;2023;1580888
333;2;Aragón;Otro tipo de turismo de ocio;Total;;2022;1297017
334;2;Aragón;Otro tipo de turismo de ocio;Total;;2021;979691
335;2;Aragón;Otro tipo de turismo de ocio;Total;;2020;589610
336;2;Aragón;Otro tipo de turismo de ocio;Total;;2019;1672405
337;2;Aragón;Otro tipo de turismo de ocio;Total;;2018;1995224
338;2;Aragón;Otro tipo de turismo de ocio;Total;;2017;2071239
339;2;Aragón;Otro tipo de turismo de ocio;Total;;2016;1714019
340;2;Aragón;Otro tipo de turismo de ocio;Total;;2015;924719
341;2;Aragón;Visitas a familiares o amigos;Total;;2024;2345274
342;2;Aragón;Visitas a familiares o amigos;Total;;2023;2470720
343;2;Aragón;Visitas a familiares o amigos;Total;;2022;2428204
344;2;Aragón;Visitas a familiares o amigos;Total;;2021;2051900
345;2;Aragón;Visitas a familiares o amigos;Total;;2020;1440211
346;2;Aragón;Visitas a familiares o amigos;Total;;2019;2437973
347;2;Aragón;Visitas a familiares o amigos;Total;;2018;2869659
348;2;Aragón;Visitas a familiares o amigos;Total;;2017;2738160
349;2;Aragón;Visitas a familiares o amigos;Total;;2016;3218097
350;2;Aragón;Visitas a familiares o amigos;Total;;2015;2793168
351;2;Aragón;Otros motivos;Total;;2024;330077
352;2;Aragón;Otros motivos;Total;;2023;375550
353;2;Aragón;Otros motivos;Total;;2022;587972
354;2;Aragón;Otros motivos;Total;;2021;477097
355;2;Aragón;Otros motivos;Total;;2020;282555
356;2;Aragón;Otros motivos;Total;;2019;358245
357;2;Aragón;Otros motivos;Total;;2018;364093
358;2;Aragón;Otros motivos;Total;;2017;348433
359;2;Aragón;Otros motivos;Total;;2016;454525
360;2;Aragón;Otros motivos;Total;;2015;441618
381;2;Aragón;Otros motivos de educación y formación;Total;;2024;118870
384;2;Aragón;Otros motivos de educación y formación;Total;;2021;39400
387;2;Aragón;Otros motivos de educación y formación;Total;;2018;36662
389;2;Aragón;Otros motivos de educación y formación;Total;;2016;38396
390;2;Aragón;Otros motivos de educación y formación;Total;;2015;65477
393;2;Aragón;Salud;Total;;2022;82820
394;2;Aragón;Salud;Total;;2021;72218
395;2;Aragón;Salud;Total;;2020;43060
396;2;Aragón;Salud;Total;;2019;81645
397;2;Aragón;Salud;Total;;2018;54502
398;2;Aragón;Salud;Total;;2017;66054
399;2;Aragón;Salud;Total;;2016;73943
400;2;Aragón;Salud;Total;;2015;87414
411;2;Aragón;Otros;Total;;2024;139871
412;2;Aragón;Otros;Total;;2023;263433
413;2;Aragón;Otros;Total;;2022;480030
414;2;Aragón;Otros;Total;;2021;339439
415;2;Aragón;Otros;Total;;2020;201321
416;2;Aragón;Otros;Total;;2019;180059
417;2;Aragón;Otros;Total;;2018;212182
418;2;Aragón;Otros;Total;;2017;196583
419;2;Aragón;Otros;Total;;2016;283532
420;2;Aragón;Otros;Total;;2015;235971
421;3;Asturias, Principado de;Negocios y otros motivos profesionales;Total;;2024;237374
422;3;Asturias, Principado de;Negocios y otros motivos profesionales;Total;;2023;371001
423;3;Asturias, Principado de;Negocios y otros motivos profesionales;Total;;2022;320055
424;3;Asturias, Principado de;Negocios y otros motivos profesionales;Total;;2021;187270
425;3;Asturias, Principado de;Negocios y otros motivos profesionales;Total;;2020;260323
426;3;Asturias, Principado de;Negocios y otros motivos profesionales;Total;;2019;216532
427;3;Asturias, Principado de;Negocios y otros motivos profesionales;Total;;2018;343584
428;3;Asturias, Principado de;Negocios y otros motivos profesionales;Total;;2017;264215
429;3;Asturias, Principado de;Negocios y otros motivos profesionales;Total;;2016;206295
430;3;Asturias, Principado de;Negocios y otros motivos profesionales;Total;;2015;273500
441;3;Asturias, Principado de;Desplazamiento al centro de trabajo;Total;;2024;86258
442;3;Asturias, Principado de;Desplazamiento al centro de trabajo;Total;;2023;229643
443;3;Asturias, Principado de;Desplazamiento al centro de trabajo;Total;;2022;204915
444;3;Asturias, Principado de;Desplazamiento al centro de trabajo;Total;;2021;107707
445;3;Asturias, Principado de;Desplazamiento al centro de trabajo;Total;;2020;191596
446;3;Asturias, Principado de;Desplazamiento al centro de trabajo;Total;;2019;129254
447;3;Asturias, Principado de;Desplazamiento al centro de trabajo;Total;;2018;163468
448;3;Asturias, Principado de;Desplazamiento al centro de trabajo;Total;;2017;136193
449;3;Asturias, Principado de;Desplazamiento al centro de trabajo;Total;;2016;89979
450;3;Asturias, Principado de;Desplazamiento al centro de trabajo;Total;;2015;158066
451;3;Asturias, Principado de;Otros motivos profesionales;Total;;2024;130071
452;3;Asturias, Principado de;Otros motivos profesionales;Total;;2023;120134
453;3;Asturias, Principado de;Otros motivos profesionales;Total;;2022;105329
454;3;Asturias, Principado de;Otros motivos profesionales;Total;;2021;77163
455;3;Asturias, Principado de;Otros motivos profesionales;Total;;2020;65345
456;3;Asturias, Principado de;Otros motivos profesionales;Total;;2019;70878
457;3;Asturias, Principado de;Otros motivos profesionales;Total;;2018;133628
458;3;Asturias, Principado de;Otros motivos profesionales;Total;;2017;116370
459;3;Asturias, Principado de;Otros motivos profesionales;Total;;2016;109942
460;3;Asturias, Principado de;Otros motivos profesionales;Total;;2015;104484
461;3;Asturias, Principado de;Motivos personales;Total;;2024;4186267
462;3;Asturias, Principado de;Motivos personales;Total;;2023;4387796
463;3;Asturias, Principado de;Motivos personales;Total;;2022;3732520
464;3;Asturias, Principado de;Motivos personales;Total;;2021;2969305
465;3;Asturias, Principado de;Motivos personales;Total;;2020;2480869
466;3;Asturias, Principado de;Motivos personales;Total;;2019;4628003
467;3;Asturias, Principado de;Motivos personales;Total;;2018;4515560
468;3;Asturias, Principado de;Motivos personales;Total;;2017;4549136
469;3;Asturias, Principado de;Motivos personales;Total;;2016;3958778
470;3;Asturias, Principado de;Motivos personales;Total;;2015;4475007
471;3;Asturias, Principado de;Ocio, recreo y vacaciones;Total;;2024;2559055
472;3;Asturias, Principado de;Ocio, recreo y vacaciones;Total;;2023;2543259
473;3;Asturias, Principado de;Ocio, recreo y vacaciones;Total;;2022;2212182
474;3;Asturias, Principado de;Ocio, recreo y vacaciones;Total;;2021;1849341
475;3;Asturias, Principado de;Ocio, recreo y vacaciones;Total;;2020;1458935
476;3;Asturias, Principado de;Ocio, recreo y vacaciones;Total;;2019;2487297
477;3;Asturias, Principado de;Ocio, recreo y vacaciones;Total;;2018;2385926
478;3;Asturias, Principado de;Ocio, recreo y vacaciones;Total;;2017;2622263
479;3;Asturias, Principado de;Ocio, recreo y vacaciones;Total;;2016;2096777
480;3;Asturias, Principado de;Ocio, recreo y vacaciones;Total;;2015;2329960
481;3;Asturias, Principado de;Turismo de sol y playa;Total;;2024;294131
482;3;Asturias, Principado de;Turismo de sol y playa;Total;;2023;315463
483;3;Asturias, Principado de;Turismo de sol y playa;Total;;2022;351666
484;3;Asturias, Principado de;Turismo de sol y playa;Total;;2021;336289
485;3;Asturias, Principado de;Turismo de sol y playa;Total;;2020;275439
486;3;Asturias, Principado de;Turismo de sol y playa;Total;;2019;317086
487;3;Asturias, Principado de;Turismo de sol y playa;Total;;2018;192775
488;3;Asturias, Principado de;Turismo de sol y playa;Total;;2017;206726
489;3;Asturias, Principado de;Turismo de sol y playa;Total;;2016;293692
490;3;Asturias, Principado de;Turismo de sol y playa;Total;;2015;423959
491;3;Asturias, Principado de;Turismo de naturaleza;Total;;2024;660084
492;3;Asturias, Principado de;Turismo de naturaleza;Total;;2023;509482
493;3;Asturias, Principado de;Turismo de naturaleza;Total;;2022;568448
494;3;Asturias, Principado de;Turismo de naturaleza;Total;;2021;523083
495;3;Asturias, Principado de;Turismo de naturaleza;Total;;2020;419745
496;3;Asturias, Principado de;Turismo de naturaleza;Total;;2019;629387
497;3;Asturias, Principado de;Turismo de naturaleza;Total;;2018;456066
498;3;Asturias, Principado de;Turismo de naturaleza;Total;;2017;481135
499;3;Asturias, Principado de;Turismo de naturaleza;Total;;2016;399726
500;3;Asturias, Principado de;Turismo de naturaleza;Total;;2015;637709
501;3;Asturias, Principado de;Turismo cultural;Total;;2024;358077
502;3;Asturias, Principado de;Turismo cultural;Total;;2023;371648
503;3;Asturias, Principado de;Turismo cultural;Total;;2022;414089
504;3;Asturias, Principado de;Turismo cultural;Total;;2021;218661
505;3;Asturias, Principado de;Turismo cultural;Total;;2020;140930
506;3;Asturias, Principado de;Turismo cultural;Total;;2019;237835
507;3;Asturias, Principado de;Turismo cultural;Total;;2018;254917
508;3;Asturias, Principado de;Turismo cultural;Total;;2017;257472
509;3;Asturias, Principado de;Turismo cultural;Total;;2016;337922
510;3;Asturias, Principado de;Turismo cultural;Total;;2015;306402
511;3;Asturias, Principado de;Turismo gastronómico;Total;;2024;72944
512;3;Asturias, Principado de;Turismo gastronómico;Total;;2023;123288
513;3;Asturias, Principado de;Turismo gastronómico;Total;;2022;69587
516;3;Asturias, Principado de;Turismo gastronómico;Total;;2019;86879
520;3;Asturias, Principado de;Turismo gastronómico;Total;;2015;82200
521;3;Asturias, Principado de;Turismo deportivo;Total;;2024;106601
522;3;Asturias, Principado de;Turismo deportivo;Total;;2023;143549
524;3;Asturias, Principado de;Turismo deportivo;Total;;2021;84501
526;3;Asturias, Principado de;Turismo deportivo;Total;;2019;201767
527;3;Asturias, Principado de;Turismo deportivo;Total;;2018;121547
528;3;Asturias, Principado de;Turismo deportivo;Total;;2017;138104
529;3;Asturias, Principado de;Turismo deportivo;Total;;2016;108222
530;3;Asturias, Principado de;Turismo deportivo;Total;;2015;87132
540;3;Asturias, Principado de;Turismo termal y de bienestar;Total;;2015;63576
541;3;Asturias, Principado de;Otro tipo de turismo de ocio;Total;;2024;1045004
542;3;Asturias, Principado de;Otro tipo de turismo de ocio;Total;;2023;1066655
543;3;Asturias, Principado de;Otro tipo de turismo de ocio;Total;;2022;678381
544;3;Asturias, Principado de;Otro tipo de turismo de ocio;Total;;2021;629579
545;3;Asturias, Principado de;Otro tipo de turismo de ocio;Total;;2020;515085
