Vía de acceso;Comunidad autónoma de destino;Motivo del viaje;Tipo de alojamiento;Forma de organización del viaje;Duración del viaje;País de residencia;Periodo;Total
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2024M10;1.173.735
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2024M09;1.278.501
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2024M08;1.484.828
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2024M07;1.329.530
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2024M06;1.137.424
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2024M05;1.174.248
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2024M04;1.050.182
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2024M03;817.122
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2024M02;589.979
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2024M01;546.633
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M12;523.480
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M11;579.437
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M10;1.102.230
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M09;1.134.035
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M08;1.347.670
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M07;1.217.477
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M06;1.000.451
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M05;1.083.676
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M04;1.024.767
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M03;671.793
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M02;486.674
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M01;477.625
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M12;424.359
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M11;469.604
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M10;896.684
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M09;956.012
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M08;1.176.217
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M07;992.560
