Destino principal;Concepto turístico;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Motivo principal;Transporte principal;Forma de organización del viaje;Duración del viaje;Comunidad autónoma de residencia;Periodo;Total
02 Aragón;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2020;187.521
02 Aragón;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2019;373.815
02 Aragón;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2018;387.422
02 Aragón;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2017;412.505
02 Aragón;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2016;241.342
02 Aragón;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2015;270.679
02 Aragón;Viajes;Albergue;;Total;Total;Total;Total;Total;2024;""
02 Aragón;Viajes;Albergue;;Total;Total;Total;Total;Total;2023;""
02 Aragón;Viajes;Albergue;;Total;Total;Total;Total;Total;2022;""
02 Aragón;Viajes;Albergue;;Total;Total;Total;Total;Total;2021;""
02 Aragón;Viajes;Albergue;;Total;Total;Total;Total;Total;2020;""
02 Aragón;Viajes;Albergue;;Total;Total;Total;Total;Total;2019;86.878
02 Aragón;Viajes;Albergue;;Total;Total;Total;Total;Total;2018;63.697
02 Aragón;Viajes;Albergue;;Total;Total;Total;Total;Total;2017;99.702
02 Aragón;Viajes;Albergue;;Total;Total;Total;Total;Total;2016;""
02 Aragón;Viajes;Albergue;;Total;Total;Total;Total;Total;2015;""
02 Aragón;Viajes;Resto de mercado;;Total;Total;Total;Total;Total;2024;73.185
02 Aragón;Viajes;Resto de mercado;;Total;Total;Total;Total;Total;2023;""
02 Aragón;Viajes;Resto de mercado;;Total;Total;Total;Total;Total;2022;94.614
02 Aragón;Viajes;Resto de mercado;;Total;Total;Total;Total;Total;2021;89.391
02 Aragón;Viajes;Resto de mercado;;Total;Total;Total;Total;Total;2020;35.204
02 Aragón;Viajes;Resto de mercado;;Total;Total;Total;Total;Total;2019;91.303
02 Aragón;Viajes;Resto de mercado;;Total;Total;Total;Total;Total;2018;117.906
02 Aragón;Viajes;Resto de mercado;;Total;Total;Total;Total;Total;2017;130.164
02 Aragón;Viajes;Resto de mercado;;Total;Total;Total;Total;Total;2016;147.848
02 Aragón;Viajes;Resto de mercado;;Total;Total;Total;Total;Total;2015;91.689
02 Aragón;Viajes;No de mercado;;Total;Total;Total;Total;Total;2024;4.146.092
02 Aragón;Viajes;No de mercado;;Total;Total;Total;Total;Total;2023;4.685.366
02 Aragón;Viajes;No de mercado;;Total;Total;Total;Total;Total;2022;4.715.321
