Destino;Concepto turístico;Tipo de dato;Periodo;Total
02 Aragón;Duración media de los viajes;Valor absoluto;2018T4;2,71
02 Aragón;Duración media de los viajes;Valor absoluto;2018T3;4,76
02 Aragón;Duración media de los viajes;Valor absoluto;2018T2;2,64
02 Aragón;Duración media de los viajes;Valor absoluto;2018T1;2,57
02 Aragón;Duración media de los viajes;Valor absoluto;2017T4;2,5
02 Aragón;Duración media de los viajes;Valor absoluto;2017T3;5,23
02 Aragón;Duración media de los viajes;Valor absoluto;2017T2;2,45
02 Aragón;Duración media de los viajes;Valor absoluto;2017T1;2,44
02 Aragón;Duración media de los viajes;Valor absoluto;2016T4;2,83
02 Aragón;Duración media de los viajes;Valor absoluto;2016T3;5,32
02 Aragón;Duración media de los viajes;Valor absoluto;2016T2;2,42
02 Aragón;Duración media de los viajes;Valor absoluto;2016T1;2,65
02 Aragón;Duración media de los viajes;Valor absoluto;2015T4;2,58
02 Aragón;Duración media de los viajes;Valor absoluto;2015T3;4,78
02 Aragón;Duración media de los viajes;Valor absoluto;2015T2;2,43
02 Aragón;Duración media de los viajes;Valor absoluto;2015T1;2,6
02 Aragón;Pernoctaciones;Valor absoluto;2025T3;9.172.855
02 Aragón;Pernoctaciones;Valor absoluto;2025T2;5.114.872
02 Aragón;Pernoctaciones;Valor absoluto;2025T1;3.922.874
02 Aragón;Pernoctaciones;Valor absoluto;2024T4;4.091.624
02 Aragón;Pernoctaciones;Valor absoluto;2024T3;11.131.717
02 Aragón;Pernoctaciones;Valor absoluto;2024T2;4.470.190
02 Aragón;Pernoctaciones;Valor absoluto;2024T1;5.797.826
02 Aragón;Pernoctaciones;Valor absoluto;2023T4;4.490.736
02 Aragón;Pernoctaciones;Valor absoluto;2023T3;9.863.221
02 Aragón;Pernoctaciones;Valor absoluto;2023T2;5.194.815
02 Aragón;Pernoctaciones;Valor absoluto;2023T1;4.687.003
02 Aragón;Pernoctaciones;Valor absoluto;2022T4;5.182.225
02 Aragón;Pernoctaciones;Valor absoluto;2022T3;11.577.642
02 Aragón;Pernoctaciones;Valor absoluto;2022T2;4.561.698
02 Aragón;Pernoctaciones;Valor absoluto;2022T1;4.147.529
02 Aragón;Pernoctaciones;Valor absoluto;2021T4;5.100.289
02 Aragón;Pernoctaciones;Valor absoluto;2021T3;10.203.235
02 Aragón;Pernoctaciones;Valor absoluto;2021T2;3.030.482
02 Aragón;Pernoctaciones;Valor absoluto;2021T1;1.800.855
02 Aragón;Pernoctaciones;Valor absoluto;2020T4;2.000.965
02 Aragón;Pernoctaciones;Valor absoluto;2020T3;9.562.996
02 Aragón;Pernoctaciones;Valor absoluto;2020T2;1.000.927
02 Aragón;Pernoctaciones;Valor absoluto;2020T1;4.292.452
02 Aragón;Pernoctaciones;Valor absoluto;2019T4;4.438.729
02 Aragón;Pernoctaciones;Valor absoluto;2019T3;10.910.376
02 Aragón;Pernoctaciones;Valor absoluto;2019T2;4.791.752
02 Aragón;Pernoctaciones;Valor absoluto;2019T1;5.522.295
02 Aragón;Pernoctaciones;Valor absoluto;2018T4;4.945.929
02 Aragón;Pernoctaciones;Valor absoluto;2018T3;10.979.693
02 Aragón;Pernoctaciones;Valor absoluto;2018T2;4.689.275
02 Aragón;Pernoctaciones;Valor absoluto;2018T1;5.492.495
02 Aragón;Pernoctaciones;Valor absoluto;2017T4;4.771.594
02 Aragón;Pernoctaciones;Valor absoluto;2017T3;11.743.859
02 Aragón;Pernoctaciones;Valor absoluto;2017T2;4.702.727
02 Aragón;Pernoctaciones;Valor absoluto;2017T1;4.930.384
02 Aragón;Pernoctaciones;Valor absoluto;2016T4;5.165.603
02 Aragón;Pernoctaciones;Valor absoluto;2016T3;12.626.626
02 Aragón;Pernoctaciones;Valor absoluto;2016T2;4.117.647
02 Aragón;Pernoctaciones;Valor absoluto;2016T1;5.586.585
02 Aragón;Pernoctaciones;Valor absoluto;2015T4;4.010.751
02 Aragón;Pernoctaciones;Valor absoluto;2015T3;8.975.374
02 Aragón;Pernoctaciones;Valor absoluto;2015T2;4.475.619
02 Aragón;Pernoctaciones;Valor absoluto;2015T1;3.842.817
02 Aragón;Gasto total;Valor absoluto;2025T3;503.822,77
02 Aragón;Gasto total;Valor absoluto;2025T2;335.696,84
02 Aragón;Gasto total;Valor absoluto;2025T1;272.841,74
02 Aragón;Gasto total;Valor absoluto;2024T4;290.231,11
02 Aragón;Gasto total;Valor absoluto;2024T3;512.900,76
02 Aragón;Gasto total;Valor absoluto;2024T2;298.966,88
02 Aragón;Gasto total;Valor absoluto;2024T1;415.845,28
02 Aragón;Gasto total;Valor absoluto;2023T4;315.385,55
02 Aragón;Gasto total;Valor absoluto;2023T3;464.718,88
02 Aragón;Gasto total;Valor absoluto;2023T2;329.599,33
02 Aragón;Gasto total;Valor absoluto;2023T1;311.764,31
02 Aragón;Gasto total;Valor absoluto;2022T4;317.165,30
02 Aragón;Gasto total;Valor absoluto;2022T3;519.855,58
02 Aragón;Gasto total;Valor absoluto;2022T2;301.110,63
02 Aragón;Gasto total;Valor absoluto;2022T1;276.893,34
02 Aragón;Gasto total;Valor absoluto;2021T4;291.324,25
02 Aragón;Gasto total;Valor absoluto;2021T3;432.526,64
02 Aragón;Gasto total;Valor absoluto;2021T2;173.792,89
02 Aragón;Gasto total;Valor absoluto;2021T1;83.200,99
02 Aragón;Gasto total;Valor absoluto;2020T4;96.308,89
02 Aragón;Gasto total;Valor absoluto;2020T3;303.812,09
02 Aragón;Gasto total;Valor absoluto;2020T2;36.265,71
02 Aragón;Gasto total;Valor absoluto;2020T1;230.808,77
02 Aragón;Gasto total;Valor absoluto;2019T4;244.837,33
02 Aragón;Gasto total;Valor absoluto;2019T3;429.109,46
02 Aragón;Gasto total;Valor absoluto;2019T2;272.356,73
02 Aragón;Gasto total;Valor absoluto;2019T1;289.062,04
02 Aragón;Gasto total;Valor absoluto;2018T4;266.216,61
02 Aragón;Gasto total;Valor absoluto;2018T3;410.869,58
02 Aragón;Gasto total;Valor absoluto;2018T2;250.612,63
02 Aragón;Gasto total;Valor absoluto;2018T1;270.707,61
02 Aragón;Gasto total;Valor absoluto;2017T4;237.994,11
02 Aragón;Gasto total;Valor absoluto;2017T3;388.868,06
02 Aragón;Gasto total;Valor absoluto;2017T2;233.011,13
02 Aragón;Gasto total;Valor absoluto;2017T1;243.169,97
02 Aragón;Gasto total;Valor absoluto;2016T4;238.608,38
02 Aragón;Gasto total;Valor absoluto;2016T3;387.463,64
02 Aragón;Gasto total;Valor absoluto;2016T2;198.927,81
02 Aragón;Gasto total;Valor absoluto;2016T1;277.144,54
02 Aragón;Gasto total;Valor absoluto;2015T4;197.525,04
02 Aragón;Gasto total;Valor absoluto;2015T3;291.186,22
02 Aragón;Gasto total;Valor absoluto;2015T2;203.487,34
02 Aragón;Gasto total;Valor absoluto;2015T1;197.926,55
02 Aragón;Gasto medio por persona;Valor absoluto;2025T3;288,73
02 Aragón;Gasto medio por persona;Valor absoluto;2025T2;206,53
02 Aragón;Gasto medio por persona;Valor absoluto;2025T1;206,8
02 Aragón;Gasto medio por persona;Valor absoluto;2024T4;220,24
02 Aragón;Gasto medio por persona;Valor absoluto;2024T3;287
02 Aragón;Gasto medio por persona;Valor absoluto;2024T2;187,6
02 Aragón;Gasto medio por persona;Valor absoluto;2024T1;204,6
02 Aragón;Gasto medio por persona;Valor absoluto;2023T4;190,94
02 Aragón;Gasto medio por persona;Valor absoluto;2023T3;228,64
02 Aragón;Gasto medio por persona;Valor absoluto;2023T2;187,97
02 Aragón;Gasto medio por persona;Valor absoluto;2023T1;164,77
02 Aragón;Gasto medio por persona;Valor absoluto;2022T4;166,41
02 Aragón;Gasto medio por persona;Valor absoluto;2022T3;222,65
02 Aragón;Gasto medio por persona;Valor absoluto;2022T2;172,29
02 Aragón;Gasto medio por persona;Valor absoluto;2022T1;187,56
02 Aragón;Gasto medio por persona;Valor absoluto;2021T4;153,11
02 Aragón;Gasto medio por persona;Valor absoluto;2021T3;203,12
02 Aragón;Gasto medio por persona;Valor absoluto;2021T2;139,92
02 Aragón;Gasto medio por persona;Valor absoluto;2021T1;133,98
02 Aragón;Gasto medio por persona;Valor absoluto;2020T4;134,51
02 Aragón;Gasto medio por persona;Valor absoluto;2020T3;203,25
02 Aragón;Gasto medio por persona;Valor absoluto;2020T2;118,37
02 Aragón;Gasto medio por persona;Valor absoluto;2020T1;155,25
