Destino principal;Concepto turístico;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Motivo principal;Transporte principal;Forma de organización del viaje;Duración del viaje;Comunidad autónoma de residencia;Periodo;Total
01 Andalucía;Viajes;Total;;Otros;Total;Total;Total;Total;2020;385.447
01 Andalucía;Viajes;Total;;Otros;Total;Total;Total;Total;2019;875.439
01 Andalucía;Viajes;Total;;Otros;Total;Total;Total;Total;2018;827.975
01 Andalucía;Viajes;Total;;Otros;Total;Total;Total;Total;2017;752.505
01 Andalucía;Viajes;Total;;Otros;Total;Total;Total;Total;2016;729.730
01 Andalucía;Viajes;Total;;Otros;Total;Total;Total;Total;2015;771.627
02 Aragón;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2024;419.217
02 Aragón;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2023;568.725
02 Aragón;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2022;513.465
02 Aragón;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2021;471.529
02 Aragón;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2020;363.510
02 Aragón;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2019;502.982
02 Aragón;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2018;662.357
02 Aragón;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2017;932.987
02 Aragón;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2016;851.505
02 Aragón;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2015;563.447
02 Aragón;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2024;""
02 Aragón;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2023;""
02 Aragón;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2022;""
02 Aragón;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2021;""
02 Aragón;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2020;""
